WELL_NAME,TIME_STAMP,WHP,WHT_F,WC_FRAC,GOR,PIP,FREQUENCY,power_factor,pump_eff,motor_eff,cable_loss_V,Q_POWER_EQ_UNCALIBRATED,ANALYST_CALIB_FACTOR,Q_ANALYST_CALIBRATED,Q_LIQ_ALLOCATED,Q_OIL_ALLOCATED,Q_WATER_ALLOCATED,Q_GAS_ALLOCATED_MMSCFD
M-80 ST,2018-11-06 10:59:59.610,1150,180,0.15,198.4705221932331,1885.0,42,0.8,0.35,0.8,230,567.8633845580696,0.8371952373798254,678.2926600673396,669.8283201026459,569.354072087249,100.47424801539688,0.113
M-80 ST,2018-11-06 11:29:59.605,1150,180,0.14,200.0,1880.4,42,0.8,0.35,0.8,230,569.9455172513187,0.8518257324866018,669.0869922273489,659.2016955454162,566.9134581690579,92.28823737635828,0.1133826916338115
M-80 ST,2018-11-06 11:59:59.600,1150,180,0.16,200.0,1878.1,42,0.8,0.35,0.8,230,563.8206643733838,0.8545815248129053,659.7622906683149,649.736075511673,545.7783034298053,103.95777208186767,0.109155660685961
M-80 ST,2018-11-06 12:29:59.595,1150,180,0.15,200.0,1875.8,42,0.8,0.35,0.8,230,561.051268172382,0.8573531287214761,654.3992777037475,644.1785865459909,547.5517985640923,96.62678798189864,0.1095103597128184
M-80 ST,2018-11-06 12:59:59.590,1150,180,0.12,200.0,1871.5,42,0.8,0.35,0.8,230,568.1076173243401,0.861625777377825,659.3438035863493,648.6211974876876,570.786653789165,77.83454369852251,0.1141573307578329
M-80 ST,2018-11-06 13:29:59.585,1150,180,0.14,200.0,1868.7,42,0.8,0.35,0.8,230,561.8587583143633,0.8468404893760263,663.476493345701,654.1863226042187,562.6002374396281,91.58608516459064,0.1125200474879256
M-80 ST,2018-11-06 13:59:59.580,1150,180,0.15,200.0,1866.6,42,0.8,0.35,0.8,230,568.4252353921236,0.8485367618029042,669.8887555376839,660.3320486143391,561.2822413221883,99.04980729215086,0.1122564482644376
M-80 ST,2018-11-06 14:29:59.575,1150,180,0.12,200.0,1865.0,42,0.8,0.35,0.8,230,565.3250802080418,0.848237622131451,666.4701794144584,656.9931953802504,578.1540119346204,78.83918344563004,0.115630802386924
M-80 ST,2018-11-06 14:59:59.570,1150,180,0.14,200.0,1862.9,42,0.8,0.35,0.8,230,565.5547863569744,0.8434839365061758,670.4985855445909,661.4625368454214,568.8577816870624,92.604755158359,0.1137715563374124
M-80 ST,2018-11-06 15:29:59.565,1150,180,0.12,200.0,1787.8,42,0.8,0.35,0.8,230,552.5586824235753,0.8395319215765774,658.1747140548413,649.7161201355327,571.7501857192688,77.9659344162639,0.1143500371438537
M-80 ST,2018-11-06 15:59:59.560,1150,180,0.15,200.0,1861.0,42,0.8,0.35,0.8,230,564.7334713155403,0.8500100438633389,664.3844686220389,654.7546766482014,556.5414751509712,98.21320149723022,0.1113082950301942
M-80 ST,2018-11-06 16:29:59.555,1150,180,0.12,200.0,1868.0,42,0.8,0.35,0.8,230,564.1224982951841,0.8477763763191729,665.4142696738719,656.0,577.28,78.72,0.115456
M-80 ST,2018-11-06 17:59:59.540,1150,180,0.2,200.0,1785.1,42,0.8,0.35,0.8,230,611.1658049874771,0.7130534355664524,857.1108061515259,866.8877706965567,693.5102165572454,173.37755413931134,0.138702043311449
M-80 ST,2018-11-06 18:29:59.535,1150,180,0.07,200.0,1786.8,42,0.8,0.35,0.8,230,608.2758025559195,0.6746115261506324,901.6682623654124,920.5096946571688,856.0740160311668,64.43567862600182,0.1712148032062333
M-80 ST,2018-11-06 18:59:59.530,1150,180,0.12,200.0,1797.0,42,0.8,0.35,0.8,230,607.4677297705587,0.709343938571997,856.379672452649,866.8877706965567,762.8612382129699,104.0265324835868,0.1525722476425939
M-80 ST,2018-11-06 19:29:59.525,1150,180,0.15,200.0,1800.9,42,0.8,0.35,0.8,230,613.9535565160293,0.6949082656108829,883.5030275202042,897.4033287162637,762.7928294088241,134.61049930743954,0.1525585658817648
M-80 ST,2018-11-06 19:59:59.520,1150,180,0.12,200.0,1798.6,42,0.8,0.35,0.8,230,614.8707234421829,0.6987759662511044,879.9254026164228,892.9386355385707,785.7859992739423,107.15263626462848,0.1571571998547884
M-80 ST,2018-11-06 20:29:59.515,1150,180,0.17,200.0,1797.7,42,0.8,0.35,0.8,230,612.4490525785754,0.6905125590639993,886.9484624707765,901.8680218939568,748.550458171984,153.31756372197265,0.1497100916343968
M-80 ST,2018-11-06 20:59:59.510,1150,180,0.14,200.0,1797.4,42,0.8,0.35,0.8,230,612.0548885622601,0.6960338382122375,879.3464555319936,892.9386355385702,767.9272265631704,125.01140897539985,0.153585445312634
M-80 ST,2018-11-06 21:29:59.505,1150,180,0.16,200.0,1797.3,42,0.8,0.35,0.8,230,613.4328947402637,0.6890489473353809,890.2602596121337,905.5612625788916,760.6714605662688,144.88980201262265,0.1521342921132537
M-80 ST,2018-11-06 22:00:00.000,1150,180,0.15,200.0,1797.6,42,0.8,0.35,0.8,230,612.413712272226,0.697400229557106,878.1380996406441,891.4185775258538,757.7057908969757,133.71278662887806,0.1515411581793951
M-80 ST,2018-11-06 22:30:00.000,1150,180,0.17,200.0,1797.8,42,0.8,0.35,0.8,230,613.8723636672006,0.6988231217307128,878.4373965001012,891.4185775258538,739.8774193464587,151.54115817939515,0.1479754838692917
M-80 ST,2018-11-06 23:00:00.005,1150,180,0.14,200.0,1798.2,42,0.8,0.35,0.8,230,609.0453607933108,0.6941144540977896,877.4422679109144,891.4185775258538,766.6199766722343,124.79860085361956,0.1533239953344468
M-80 ST,2018-11-06 23:30:00.010,1150,180,0.15,200.0,1798.4,42,0.8,0.35,0.8,230,608.53786655174,0.6936194012106025,877.3368586426991,891.4185775258538,757.7057908969757,133.71278662887806,0.1515411581793951
M-80 ST,2018-11-14 08:30:00.000,950,185,0.45,200.0,1823.9,42,0.8,0.35,0.8,230,634.5066119628319,0.9519470331970146,666.5356262857481,647.6281487796293,356.1954818287961,291.4326669508332,0.0712390963657592
M-80 ST,2018-11-14 08:59:59.990,950,185,0.42,200.0,1823.9,42,0.8,0.35,0.8,230,633.5910693121704,0.9566668164008004,662.2902126948283,643.1307310797706,373.01582402626696,270.11490705350366,0.0746031648052533
M-80 ST,2018-11-14 09:29:59.985,950,185,0.39,200.0,1823.9,42,0.8,0.35,0.8,230,634.8243852614839,0.9464952655595154,670.7105765460021,652.1255664794878,397.7965955524876,254.32897092700023,0.0795593191104975
