GATHERING_CENTER,WELL_NAME,TEST_DATE_TIME,PUMP_MANUFACTURER,PUMP_SERIES_NAME,PUMP_MODEL,CANONICAL_MODEL,NUMBER_OF_STAGES,INSTALL_TOP_DEPTH_FT,CUMULATIVE_RUN_LIFE_DAYS,DAYS_FROM_INSTALLATION,PIP_PSIG,PDP_PSIG,DELTA_P_PSI,WHP_PSIG,WHT_DEG_F,FREQUENCY_HZ,SPEED_RATIO_RF,WATER_CUT_PCT,RESERVOIR_FORMATION,WATER_SALINITY_PPM,WATER_SG,FLUID_GRADIENT_PSI_FT,STAGE_DYNAMIC_HEAD_FT,NORMALIZED_HEAD_60HZ_FT,B_O_RBSTB,B_LIQ_RBSTB,RS_SCFBBL,Q_DOWNHOLE_RBPD,RAW_DOWNHOLE_ERROR_BPD,RAW_DOWNHOLE_PE_PCT,ACTUAL_LIQUID_RATE_STBD,Q_PURE_RAW_STBD,Q_PURE_SURF_STBD,RESIDUAL_ERROR_BPD,PERCENT_ERROR_PCT,ABS_PERCENT_ERROR_MAPE,BIAS_DIRECTION,QC_PASS_TELEMETRY,QC_PASS_POSITIVE_LIFT,QC_PASS_MIN_LIFT,QC_PASS_MIN_FREQ,QC_PASS_WATER_CUT,QC_5_GATES_PASS,IS_ACTIVE_CURRENT_RUN,QUALIFIED_5QC_CLEAN_ACTIVE,TEST_VALIDITY_STATUS,SCREENING_REASON_DETAIL
GC-31,SA-0005_T,2021-01-06 08:15,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,0.0,-764.4,2436.0,2436.0,0.0,204.0,139.0,49.0,0.8167,29.1,Upper Burgan (UB),199739.0,1.1388,0.409,,,1.1848,1.1368,350.0,,,,1449.0,,,,,,,True,False,False,True,True,False,False,False,3. FAILED_ZERO_NEGATIVE_LIFT,"Failed Gate 2: Negative/Zero Lift (PDP=2436.0 <= PIP=2436.0, dP=0.0 psi)"
GC-31,SA-0005_T,2021-04-15 08:15,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,0.0,-665.4,1366.0,,,207.0,135.0,50.0,0.8333,31.0,Upper Burgan (UB),199739.0,1.1388,0.411,,,1.1364,1.1003,235.2,,,,1501.0,,,,,,,False,False,False,True,True,False,False,False,7. FAILED_MISSING_TELEMETRY,"Failed Gate 1: Missing Telemetry (PIP=1366.0, PDP=nan)"
GC-31,SA-0005_T,2021-08-19 07:30,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,0.0,-539.4,,2176.0,,186.0,140.0,49.5,0.825,25.3,Upper Burgan (UB),199739.0,1.1388,0.405,,,1.1477,1.1154,262.5,,,,1510.0,,,,,,,False,False,False,True,True,False,False,False,7. FAILED_MISSING_TELEMETRY,"Failed Gate 1: Missing Telemetry (PIP=nan, PDP=2176.0)"
GC-31,SA-0005_T,2021-11-02 08:00,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,0.0,-464.4,1348.0,,,215.1,139.3,48.0,0.8,20.5,Upper Burgan (UB),199739.0,1.1388,0.4,,,1.1349,1.1113,231.6,,,,1557.7,,,,,,,False,False,False,True,True,False,False,False,7. FAILED_MISSING_TELEMETRY,"Failed Gate 1: Missing Telemetry (PIP=1348.0, PDP=nan)"
GC-31,SA-0005_T,2022-02-09 08:15,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,0.0,-365.4,,,,187.0,135.0,48.0,0.8,20.4,Upper Burgan (UB),199739.0,1.1388,0.3999,,,1.1477,1.1216,262.5,,,,1457.0,,,,,,,False,False,False,True,True,False,False,False,7. FAILED_MISSING_TELEMETRY,"Failed Gate 1: Missing Telemetry (PIP=nan, PDP=nan)"
GC-31,SA-0005_T,2022-05-19 08:30,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,0.0,-266.4,1391.0,2268.0,877.0,182.5,137.1,50.0,0.8333,20.4,Upper Burgan (UB),199739.0,1.1388,0.3999,14.33,20.64,1.1385,1.1143,240.3,2932.3,1557.3,113.26,1375.0,2631.5,2631.5,1256.5,91.38,91.38,OVER_PREDICTION,True,True,True,True,True,True,False,False,2. QUALIFIED_5QC_HISTORICAL_RUN,Pass 5 QC Gates (Historical Completion Run: Days = -266.4)
GC-31,SA-0005_T,2022-08-18 07:00,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,0.0,-175.4,1341.0,2416.0,1075.0,179.0,141.0,50.0,0.8333,41.1,Upper Burgan (UB),199739.0,1.1388,0.4215,16.67,24.01,1.1343,1.0873,230.2,2869.5,1385.5,93.36,1484.0,2639.0,2639.0,1155.0,77.83,77.83,OVER_PREDICTION,True,True,True,True,True,True,False,False,2. QUALIFIED_5QC_HISTORICAL_RUN,Pass 5 QC Gates (Historical Completion Run: Days = -175.4)
GC-31,SA-0005_T,2023-03-01 08:15,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,19.6,19.6,1406.0,3208.0,1802.0,252.0,153.0,50.0,0.8333,74.5,Upper Burgan (UB),199739.0,1.1388,0.4563,25.81,37.17,1.1397,1.0505,243.3,2552.4,338.4,15.28,2214.0,2429.6,2429.6,215.6,9.74,9.74,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0005_T,2023-06-01 07:30,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,111.6,111.6,1401.0,3000.0,1599.0,248.0,154.0,50.0,0.8333,61.3,Upper Burgan (UB),199739.0,1.1388,0.4425,23.62,34.02,1.1393,1.0662,242.3,2642.6,254.6,10.66,2388.0,2478.6,2478.6,90.6,3.79,3.79,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0005_T,2023-09-22 07:15,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,224.6,224.6,1642.0,2584.0,942.0,224.0,153.0,50.0,0.8333,25.5,Upper Burgan (UB),199739.0,1.1388,0.4052,15.19,21.88,1.16,1.1243,291.9,2909.7,348.7,13.62,2561.0,2588.0,2588.0,27.0,1.05,1.05,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0005_T,2023-12-17 09:00,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,310.6,310.6,,1795.0,,256.0,149.0,49.0,0.8167,41.1,Upper Burgan (UB),199739.0,1.1388,0.4215,,,1.1477,1.0952,262.5,,,,2295.0,,,,,,,False,False,False,True,True,False,True,False,7. FAILED_MISSING_TELEMETRY,"Failed Gate 1: Missing Telemetry (PIP=nan, PDP=1795.0)"
GC-31,SA-0005_T,2024-03-27 12:30,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,411.8,411.8,1670.0,2995.0,1325.0,236.0,158.0,49.0,0.8167,51.8,Upper Burgan (UB),199739.0,1.1388,0.4326,20.02,30.02,1.1625,1.0887,297.8,2687.6,359.6,15.45,2328.0,2468.7,2468.7,140.7,6.04,6.04,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0005_T,2024-07-31 08:00,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,537.6,537.6,1512.0,3293.0,1781.0,252.0,159.0,49.0,0.8167,67.1,Upper Burgan (UB),199739.0,1.1388,0.4486,25.95,38.91,1.1487,1.0623,264.9,2446.8,664.8,37.31,1782.0,2303.2,2303.2,521.2,29.25,29.25,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0005_T,2024-12-31 08:00,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,690.6,690.6,1415.0,3208.0,1793.0,253.0,154.0,49.0,0.8167,77.0,Upper Burgan (UB),199739.0,1.1388,0.4589,25.54,38.29,1.1405,1.0477,245.1,2466.7,280.7,12.84,2186.0,2354.4,2354.4,168.4,7.7,7.7,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0005_T,2025-04-29 08:30,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,809.6,809.6,1631.0,3668.0,2037.0,423.0,162.0,49.0,0.8167,72.3,Upper Burgan (UB),199739.0,1.1388,0.454,29.33,43.97,1.1591,1.0585,289.6,2252.7,600.7,36.36,1652.0,2128.2,2128.2,476.2,28.83,28.83,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0005_T,2025-09-08 08:00,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,941.6,941.6,1242.0,3247.0,2005.0,242.0,150.0,49.0,0.8167,82.0,Upper Burgan (UB),199739.0,1.1388,0.4641,28.24,42.34,1.1262,1.0391,210.4,2322.3,352.3,17.88,1970.0,2234.9,2234.9,264.9,13.45,13.45,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0005_T,2025-12-22 23:15,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,1047.2,1047.2,1168.0,3362.0,2194.0,225.2,152.0,49.0,0.8167,85.8,Upper Burgan (UB),199739.0,1.1388,0.4681,30.64,45.94,1.1203,1.0342,195.9,2156.1,193.4,9.85,1962.7,2084.7,2084.7,122.0,6.22,6.22,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0005_T,2026-03-11 08:30,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,1125.6,1125.6,0.0,0.0,0.0,248.0,155.0,49.0,0.8167,88.1,Upper Burgan (UB),199739.0,1.1388,0.4705,,,1.1477,1.0352,262.5,,,,1838.0,,,,,,,True,False,False,True,True,False,True,False,3. FAILED_ZERO_NEGATIVE_LIFT,"Failed Gate 2: Negative/Zero Lift (PDP=0.0 <= PIP=0.0, dP=0.0 psi)"
GC-31,SA-0006_T,2021-01-04 08:35,Halliburton / Summit ESP,400 Series (Summit SF),SF900,SF900,305,7300.0,0.0,-426.6,499.0,,,134.7,121.4,49.0,0.8167,48.2,Mauddud (MA),137779.0,1.0958,0.4289,,,1.0725,1.0472,74.1,,,,557.7,,,,,,,False,False,False,True,True,False,False,False,7. FAILED_MISSING_TELEMETRY,"Failed Gate 1: Missing Telemetry (PIP=499.0, PDP=nan)"
GC-31,SA-0006_T,2021-05-01 05:00,Halliburton / Summit ESP,400 Series (Summit SF),SF900,SF900,305,7300.0,0.0,-309.7,643.0,,,137.0,112.0,50.0,0.8333,50.0,Mauddud (MA),137779.0,1.0958,0.4308,,,1.0818,1.0509,98.6,,,,625.0,,,,,,,False,False,False,True,True,False,False,False,7. FAILED_MISSING_TELEMETRY,"Failed Gate 1: Missing Telemetry (PIP=643.0, PDP=nan)"
GC-31,SA-0006_T,2022-03-16 20:30,Halliburton / Summit ESP,400 Series (Summit SF),SF900,SF900,305,7300.0,9.9,9.9,986.0,3167.0,2181.0,241.0,128.0,50.0,0.8333,64.8,Mauddud (MA),137779.0,1.0958,0.4462,16.03,23.09,1.1063,1.0504,160.9,1100.0,244.0,28.5,856.0,1047.3,1047.3,191.3,22.35,22.35,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0006_T,2022-08-22 07:30,Halliburton / Summit ESP,400 Series (Summit SF),SF900,SF900,305,7300.0,168.4,168.4,887.0,2977.0,2090.0,267.0,138.0,50.0,0.8333,51.0,Mauddud (MA),137779.0,1.0958,0.4318,15.87,22.85,1.0989,1.0587,142.4,1100.0,315.0,40.13,785.0,1039.0,1039.0,254.0,32.36,32.36,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0006_T,2023-01-05 09:00,Halliburton / Summit ESP,400 Series (Summit SF),SF900,SF900,305,7300.0,304.5,304.5,734.0,3029.7,2295.7,230.0,126.0,50.0,0.8333,51.4,Mauddud (MA),137779.0,1.0958,0.4322,17.41,25.07,1.088,1.0531,114.6,1077.7,280.7,35.22,797.0,1023.4,1023.4,226.4,28.41,28.41,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0006_T,2023-03-30 05:30,Halliburton / Summit ESP,400 Series (Summit SF),SF900,SF900,305,7300.0,388.3,388.3,744.0,3080.0,2336.0,215.0,129.0,50.0,0.8333,50.0,Mauddud (MA),137779.0,1.0958,0.4308,17.78,25.61,1.0887,1.0544,116.4,1025.0,171.0,20.02,854.0,972.2,972.2,118.2,13.84,13.84,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0006_T,2023-06-21 08:45,Halliburton / Summit ESP,400 Series (Summit SF),SF900,SF900,305,7300.0,471.4,471.4,794.0,2884.7,2090.7,214.0,129.0,50.0,0.8333,54.4,Mauddud (MA),137779.0,1.0958,0.4353,15.75,22.68,1.0922,1.0529,125.4,1100.0,253.0,29.87,847.0,1044.7,1044.7,197.7,23.34,23.34,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0006_T,2023-10-10 08:15,Halliburton / Summit ESP,400 Series (Summit SF),SF900,SF900,305,7300.0,582.4,582.4,1044.0,3070.0,2026.0,248.0,140.0,50.0,0.8333,50.2,Mauddud (MA),137779.0,1.0958,0.431,15.41,22.19,1.1107,1.0651,171.9,1100.0,126.0,12.94,974.0,1032.7,1032.7,58.7,6.03,6.03,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0006_T,2024-01-31 13:30,Halliburton / Summit ESP,400 Series (Summit SF),SF900,SF900,305,7300.0,695.6,695.6,1305.0,3059.0,1754.0,263.0,140.0,50.0,0.8333,52.0,Mauddud (MA),137779.0,1.0958,0.4328,13.29,19.14,1.1313,1.0734,223.0,1100.0,-5.0,-0.45,1105.0,1024.7,1024.7,-80.3,-7.27,7.27,UNDER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0006_T,2024-05-03 09:45,Halliburton / Summit ESP,400 Series (Summit SF),SF900,SF900,305,7300.0,788.5,788.5,1440.0,3110.0,1670.0,284.9,140.5,49.0,0.8167,63.3,Mauddud (MA),137779.0,1.0958,0.4446,12.31,18.46,1.1426,1.065,250.2,1078.0,15.3,1.44,1062.7,1012.2,1012.2,-50.5,-4.75,4.75,UNDER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0006_T,2024-09-11 08:00,Halliburton / Summit ESP,400 Series (Summit SF),SF900,SF900,305,7300.0,919.4,919.4,1663.0,3158.0,1495.0,293.0,131.0,49.0,0.8167,62.1,Mauddud (MA),137779.0,1.0958,0.4434,11.06,16.58,1.1619,1.0738,296.3,1078.0,82.0,8.23,996.0,1003.9,1003.9,7.9,0.79,0.79,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0006_T,2025-01-06 08:45,Halliburton / Summit ESP,400 Series (Summit SF),SF900,SF900,305,7300.0,1036.4,1036.4,1408.0,3254.0,1846.0,292.0,139.0,49.0,0.8167,66.5,Mauddud (MA),137779.0,1.0958,0.448,13.51,20.25,1.1399,1.0602,243.7,1078.0,185.0,20.72,893.0,1016.8,1016.8,123.8,13.86,13.86,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0006_T,2025-05-13 08:30,Halliburton / Summit ESP,400 Series (Summit SF),SF900,SF900,305,7300.0,1163.4,1163.4,1334.0,3177.0,1843.0,280.0,136.0,49.0,0.8167,62.6,Mauddud (MA),137779.0,1.0958,0.4439,13.61,20.4,1.1337,1.0625,228.8,1078.0,372.0,52.69,706.0,1014.6,1014.6,308.6,43.71,43.71,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0006_T,2025-09-07 18:30,Halliburton / Summit ESP,400 Series (Summit SF),SF900,SF900,305,7300.0,1280.9,1280.9,1163.0,3189.0,2026.0,242.0,130.0,49.0,0.8167,62.1,Mauddud (MA),137779.0,1.0958,0.4434,14.98,22.46,1.1199,1.0579,194.9,1078.0,240.2,28.67,837.8,1019.0,1019.0,181.2,21.63,21.63,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0006_T,2025-11-30 20:00,Halliburton / Summit ESP,400 Series (Summit SF),SF900,SF900,305,7300.0,1364.9,1364.9,1279.0,2197.0,918.0,241.0,124.0,51.0,0.85,66.9,Mauddud (MA),137779.0,1.0958,0.4484,6.71,9.29,1.1292,1.0562,217.8,1122.0,173.0,18.23,949.0,1062.3,1062.3,113.3,11.94,11.94,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0006_T,2026-06-06 10:45,Halliburton / Summit ESP,400 Series (Summit SF),SF900,SF900,305,7300.0,1552.5,1552.5,1214.0,3121.0,1907.0,275.0,134.0,51.0,0.85,73.0,Mauddud (MA),137779.0,1.0958,0.4547,13.75,19.03,1.124,1.0481,204.9,1122.0,294.0,35.51,828.0,1070.5,1070.5,242.5,29.29,29.29,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0006_T,2026-08-03 08:00,Halliburton / Summit ESP,400 Series (Summit SF),SF900,SF900,305,7300.0,1610.4,1610.4,789.0,3186.0,2397.0,209.0,128.0,51.0,0.85,64.4,Mauddud (MA),137779.0,1.0958,0.4458,17.63,24.4,1.0919,1.0456,124.5,1122.0,650.0,137.71,472.0,1073.1,1073.1,601.1,127.35,127.35,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0032_T,2021-02-04 08:15,REDA (Schlumberger),538/540 Series (REDA S),S4000N,S4000N,112,7400.0,0.0,-1060.7,,,,283.0,155.0,50.0,0.8333,80.0,Mauddud (MA),137779.0,1.0958,0.462,,,1.1477,1.0455,262.5,,,,760.0,,,,,,,False,False,False,True,True,False,False,False,7. FAILED_MISSING_TELEMETRY,"Failed Gate 1: Missing Telemetry (PIP=nan, PDP=nan)"
GC-31,SA-0032_T,2022-06-01 07:30,REDA (Schlumberger),538/540 Series (REDA S),S4000N,S4000N,112,7400.0,0.0,-578.7,1788.0,3184.0,1396.0,195.0,150.0,50.0,0.8333,79.0,Mauddud (MA),137779.0,1.0958,0.461,27.04,38.94,1.1731,1.0521,322.7,4118.7,1690.7,69.63,2428.0,3914.6,3914.6,1486.6,61.23,61.23,OVER_PREDICTION,True,True,True,True,True,True,False,False,2. QUALIFIED_5QC_HISTORICAL_RUN,Pass 5 QC Gates (Historical Completion Run: Days = -578.7)
GC-31,SA-0032_T,2022-09-09 09:00,REDA (Schlumberger),538/540 Series (REDA S),S4000N,S4000N,112,7400.0,0.0,-478.6,1607.0,2978.0,1371.0,185.0,153.0,50.0,0.8333,65.0,Mauddud (MA),137779.0,1.0958,0.4464,27.42,39.49,1.157,1.0679,284.6,4076.2,1694.2,71.13,2382.0,3816.9,3816.9,1434.9,60.24,60.24,OVER_PREDICTION,True,True,True,True,True,True,False,False,2. QUALIFIED_5QC_HISTORICAL_RUN,Pass 5 QC Gates (Historical Completion Run: Days = -478.6)
GC-31,SA-0032_T,2023-01-05 08:45,REDA (Schlumberger),538/540 Series (REDA S),S4000N,S4000N,112,7400.0,0.0,-360.6,1843.0,3580.0,1737.0,324.0,154.0,50.0,0.8333,77.1,Mauddud (MA),137779.0,1.0958,0.459,33.79,48.66,1.1781,1.0562,334.4,3260.8,2017.8,162.33,1243.0,3087.3,3087.3,1844.3,148.37,148.37,OVER_PREDICTION,True,True,True,True,True,True,False,False,2. QUALIFIED_5QC_HISTORICAL_RUN,Pass 5 QC Gates (Historical Completion Run: Days = -360.6)
GC-31,SA-0032_T,2023-04-17 05:00,REDA (Schlumberger),538/540 Series (REDA S),S4000N,S4000N,112,7400.0,0.0,-258.8,1653.0,3222.0,1569.0,279.0,168.0,50.0,0.8333,68.2,Mauddud (MA),137779.0,1.0958,0.4497,31.15,44.86,1.161,1.0648,294.2,3624.9,1464.9,67.82,2160.0,3404.2,3404.2,1244.2,57.6,57.6,OVER_PREDICTION,True,True,True,True,True,True,False,False,2. QUALIFIED_5QC_HISTORICAL_RUN,Pass 5 QC Gates (Historical Completion Run: Days = -258.8)
GC-31,SA-0032_T,2023-07-29 06:45,REDA (Schlumberger),538/540 Series (REDA S),S4000N,S4000N,112,7400.0,0.0,-155.7,1710.0,3521.0,1811.0,266.0,147.0,50.0,0.8333,79.7,Mauddud (MA),137779.0,1.0958,0.4617,35.02,50.43,1.1661,1.0497,306.2,3077.7,1285.7,71.75,1792.0,2932.1,2932.1,1140.1,63.62,63.62,OVER_PREDICTION,True,True,True,True,True,True,False,False,2. QUALIFIED_5QC_HISTORICAL_RUN,Pass 5 QC Gates (Historical Completion Run: Days = -155.7)
GC-31,SA-0032_T,2024-01-22 08:00,REDA (Schlumberger),538/540 Series (REDA S),S4000N,S4000N,112,7400.0,21.3,21.3,1397.0,3408.0,2011.0,319.0,161.0,50.0,0.8333,85.0,Mauddud (MA),137779.0,1.0958,0.4672,38.43,55.34,1.139,1.0378,241.5,2520.7,-969.6,-27.78,3490.3,2428.8,2428.8,-1061.5,-30.41,30.41,UNDER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0032_T,2024-04-17 08:45,REDA (Schlumberger),538/540 Series (REDA S),S4000N,S4000N,112,7400.0,107.4,107.4,1469.0,3765.0,2296.0,312.0,161.0,50.0,0.8333,76.0,Mauddud (MA),137779.0,1.0958,0.4579,44.77,64.47,1.145,1.05,256.1,1255.2,-406.8,-24.48,1662.0,1195.4,1195.4,-466.6,-28.07,28.07,UNDER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0032_T,2024-05-28 07:45,REDA (Schlumberger),538/540 Series (REDA S),S4000N,S4000N,112,7400.0,148.3,148.3,1613.0,3385.0,1772.0,290.0,167.0,50.0,0.8333,77.0,Mauddud (MA),137779.0,1.0958,0.4589,34.48,49.66,1.1575,1.0516,285.8,3158.2,477.2,17.8,2681.0,3003.2,3003.2,322.2,12.02,12.02,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0032_T,2024-12-08 08:15,REDA (Schlumberger),538/540 Series (REDA S),S4000N,S4000N,112,7400.0,342.3,342.3,1472.0,3322.0,1850.0,262.0,162.0,52.0,0.8667,71.2,Mauddud (MA),137779.0,1.0958,0.4529,36.47,48.55,1.1453,1.0561,256.7,3402.9,-940.1,-21.65,4343.0,3222.2,3222.2,-1120.8,-25.81,25.81,UNDER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0032_T,2025-03-23 08:30,REDA (Schlumberger),538/540 Series (REDA S),S4000N,S4000N,112,7400.0,447.4,447.4,1899.0,4377.0,2478.0,388.0,166.0,52.0,0.8667,77.2,Mauddud (MA),137779.0,1.0958,0.4591,48.19,64.15,1.1833,1.0572,346.4,1360.1,-9.9,-0.72,1370.0,1286.5,1286.5,-83.5,-6.09,6.09,UNDER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0032_T,2025-04-17 08:30,REDA (Schlumberger),538/540 Series (REDA S),S4000N,S4000N,112,7400.0,472.4,472.4,1743.0,4042.0,2299.0,327.0,169.0,54.0,0.9,74.6,Mauddud (MA),137779.0,1.0958,0.4564,44.98,55.53,1.169,1.0579,313.1,2697.4,434.2,19.19,2263.2,2549.9,2549.9,286.7,12.67,12.67,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0032_T,2025-08-10 07:30,REDA (Schlumberger),538/540 Series (REDA S),S4000N,S4000N,112,7400.0,587.3,587.3,1706.0,4224.0,2518.0,262.0,170.0,53.0,0.8833,79.2,Mauddud (MA),137779.0,1.0958,0.4612,48.75,62.48,1.1657,1.0503,305.3,1660.9,48.9,3.03,1612.0,1581.3,1581.3,-30.7,-1.9,1.9,UNDER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0032_T,2025-11-09 12:00,REDA (Schlumberger),538/540 Series (REDA S),S4000N,S4000N,112,7400.0,678.5,678.5,1742.0,4057.0,2315.0,229.0,154.0,51.0,0.85,75.2,Mauddud (MA),137779.0,1.0958,0.457,45.23,62.6,1.1689,1.0569,312.9,1579.0,170.0,12.07,1409.0,1493.9,1493.9,84.9,6.03,6.03,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
